"Expense Type",Description,"Expense Amount","Expense Date","Expense Files","Expense Loan#","Bank Account"
"ADW Enterprises Ltd (Interest)",,2833.33,11/07/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,11/07/2022,,1000017,"Starling Bank"
"Computer Software",Google,27.60,01/07/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,73.88,20/06/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (556.26- 462.96 is capital shown as a payment in branch capital) 
",93.30,13/06/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/06/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/06/2022,,N/A,"Starling Bank"
"Computer Software",loandisk,73.00,20/05/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (554.20- 462.96 is capital shown as a payment in branch capital)",91.24,13/05/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,06/05/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/05/2022,,N/A,"Starling Bank"
"HMRC Corporation Tax","Corporation Tax",36544.22,25/04/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,08/08/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,08/08/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,08/08/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,08/08/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,08/08/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,11/08/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,11/08/2022,,1000018,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/08/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/08/2022,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,29/07/2022,,1000018,"Starling Bank"
"Computer Software",loandisk,75.48,20/07/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (552.32- 462.96 is capital shown as a payment in branch capital)",89.36,13/07/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/07/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/07/2022,,N/A,"Starling Bank"
"Legal and Professional Fees","Clarion Legal Fees",1552.75,05/09/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,05/09/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,05/09/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,05/09/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,05/09/2022,,1000016,"Starling Bank"
"Bank/Finance Charges","	Bound Back Loan (554.32- 462.96 is capital shown as a payment in branch capital)",91.36,13/08/2022,,N/A,"Starling Bank"
"Computer Software",Loandisk,92.44,20/08/2022,,N/A,"Starling Bank"
"Computer Software",google,27.59,01/09/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,06/09/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (553.35- 462.96 is capital shown as a payment in branch capital)",90.39,13/09/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,12/10/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)","sep late payment",2833.33,04/10/2022,,1000012,"Starling Bank"
"Legal and Professional Fees","Clarion counci fees",3125.00,11/10/2022,,1000001,"Starling Bank"
"Computer Software",loandisk,96.79,06/10/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/10/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,04/10/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","october late payment",1845.00,17/10/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)","october late payment",687.50,24/10/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)","september late payment",1248.68,24/10/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)","october late payment",1248.68,24/10/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)","october late payment",1316.57,24/10/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)","November payment (paid early in error)",1316.57,24/10/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)","october late payment",2833.33,24/10/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)","September late payment",683.33,24/10/2022,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)","October late payment",683.33,24/10/2022,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)","65263 was sent with 6038.34 being returned due to payment error 
 
",59224.66,24/10/2022,,1000010,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,01/11/2022,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,01/11/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,01/11/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,01/11/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,666.67,01/11/2022,,1000020,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,01/11/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,01/11/2022,,1000001,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (549.49- 462.96 is capital shown as a payment in branch capital)",86.53,13/10/2022,,N/A,"Starling Bank"
"Computer Software",loandisk,97.14,20/10/2022,,N/A,"Starling Bank"
"Computer Software","google cloud",27.60,01/11/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/11/2022,,N/A,"Starling Bank"
Miscellaneous,Locksmith,1886.00,08/11/2022,,1000001,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (551.41- 462.96 is capital shown as a payment in branch capital)",88.45,13/11/2022,,N/A,"Starling Bank"
Insurance,"House insurance",220.00,10/11/2022,,1000001,"Starling Bank"
"Computer Software",Loandisk,92.33,20/11/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,01/12/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,01/12/2022,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,01/12/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,666.67,01/12/2022,,1000020,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,01/12/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,01/12/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,01/12/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,01/12/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,11/01/2023,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,11/01/2023,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,11/01/2023,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,791.67,11/01/2023,,1000021,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,666.67,11/01/2023,,1000020,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,11/01/2023,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,04/01/2023,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,11/01/2023,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,11/01/2023,,1000001,"Starling Bank"
"Computer Software",google,27.60,01/12/2022,,N/A,"Starling Bank"
"Computer Software","34sp domain rewnal",15.00,02/12/2022,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/01/2022,,N/A,"Starling Bank"
Insurance,"Premium credit insurance",111.51,12/12/2022,,1000001,"Starling Bank"
"Bank/Finance Charges","	Bound Back Loan (547.61- 462.96 is capital shown as a payment in branch capital)",84.65,13/12/2022,,N/A,"Starling Bank"
Miscellaneous,"Montrose Glass.  ",185.40,14/12/2022,,1000001,"Starling Bank"
"Legal and Professional Fees","Information Commissioner's Office",35.00,16/12/2022,,N/A,"Starling Bank"
"Computer Software",Loandisk,89.94,20/12/2022,,N/A,"Starling Bank"
Miscellaneous,"Mr M Minnis",1795.00,23/12/2022,,1000001,"Starling Bank"
Miscellaneous,"Montrose Glass",185.40,24/12/2022,,1000001,"Starling Bank"
"Computer Software",google,27.60,01/01/2023,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/01/2023,,N/A,"Starling Bank"
Miscellaneous,"Premium Credit Insurance",106.49,10/01/2023,,1000001,"Starling Bank"
Miscellaneous,"Premium Credit Insurance",25.00,10/01/2023,,1000001,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",1200.00,10/01/2023,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",13.00,10/01/2023,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",120.00,10/01/2023,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (549.46- 462.96 is capital shown as a payment in branch capital)",86.50,13/01/2023,,N/A,"Starling Bank"
"Legal and Professional Fees","Clarion, Council fees",1800.00,19/01/2023,,1000001,"Starling Bank"
"Computer Software",Loandisk,88.54,20/01/2023,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","final interest payment",1246.52,03/02/2023,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,04/02/2023,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,04/02/2023,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,04/02/2023,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,791.67,04/02/2023,,1000021,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,666.67,04/02/2023,,1000020,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,04/02/2023,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,04/02/2023,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,04/02/2023,,1000017,"Starling Bank"
"HMRC Corporation Tax",,33131.82,04/02/2023,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/02/2023,,N/A,"Starling Bank"
"Computer Software","34sp domain",9.95,05/02/2023,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Payment was 103067.74 (95k capital)",8067.74,25/04/2022,,1000015,"Starling Bank"
"Computer Software",google,27.60,05/05/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,683.33,08/03/2023,,1000018,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,08/03/2023,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,08/03/2023,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,791.67,08/03/2023,,1000021,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,666.67,08/03/2023,,1000020,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,08/03/2023,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,08/03/2023,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,08/03/2023,,1000001,"Starling Bank"
"Computer Software","34sp. Hosting",9.95,01/03/2023,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/03/2023,,N/A,"Starling Bank"
"Computer Software",loandisk,91.49,20/02/2023,,N/A,"Starling Bank"
Miscellaneous,"Sonnys Removals",250.00,13/02/2023,,1000001,"Starling Bank"
Miscellaneous,"Mr M Minnis",1455.00,13/02/2023,,1000001,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (548.49- 462.96 is capital shown as a payment in Investor Accountsl)",85.53,13/02/2023,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance",106.49,10/02/2023,,1000001,"Starling Bank"
"Computer Software","34sp hosting",9.95,06/12/2022,,N/A,"Starling Bank"
"Legal and Professional Fees","Information Commissioners Office",35.00,17/12/2021,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,10/03/2023,,1000023,"Starling Bank"
Insurance,"Premium Credit Insurance",106.49,10/03/2023,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Working capital interest",95.34,11/02/2020,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","added on 13/13/2023 (found missing transactions whilst reconciling accounts)",1966.44,30/11/2019,,1000002,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (539.33- 462.96 is capital shown as a payment in Investor Accountsl)",76.37,13/03/2023,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (567.92 - 104.96 is interest / 462.96 is capital) 
 
",104.96,13/06/2021,,N/A,"Starling Bank"
"Computer Software",Loandisk,90.10,20/03/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,20/03/2023,,1000022,"Starling Bank"
"Computer Software",Google,27.60,01/04/2023,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/04/2023,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance",106.49,11/04/2023,,1000001,"Starling Bank"
"Computer Software",Loandisk,87.96,20/04/2023,,N/A,"Starling Bank"
"Computer Software",Google,27.60,01/05/2023,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance",106.49,10/05/2023,,1000001,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/05/2023,,N/A,"Starling Bank"
"Computer Software",Loandisk,84.71,20/07/2023,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,19/07/2023,,N/A,"Starling Bank"
Insurance,,106.49,10/07/2023,,1000001,"Starling Bank"
"Computer Software",google,27.60,01/07/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,27/06/2023,,1000026,"Starling Bank"
"Computer Software",Loandisk,85.27,20/06/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,11/07/2023,,1000027,"Starling Bank"
"Computer Software",Google,27.60,01/08/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1000.00,07/08/2023,,1000029,"Starling Bank"
Insurance,,106.49,10/08/2023,,1000001,"Starling Bank"
"Computer Software",34sp,9.95,13/08/2023,,N/A,"Starling Bank"
"Computer Software",loandisk,85.91,20/08/2023,,N/A,"Starling Bank"
"Computer Software",Google,27.60,01/09/2023,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/09/2023,,N/A,"Starling Bank"
"Computer Software",Loandisk,90.17,20/10/2023,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,05/10/2023,,N/A,"Starling Bank"
"Computer Software",Google,27.60,01/10/2023,,N/A,"Starling Bank"
"Computer Software",Loandisk,88.13,20/09/2023,,N/A,"Starling Bank"
"Computer Software",Google,27.60,01/11/2023,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,05/11/2022,,N/A,"Starling Bank"
"HMRC Corporation Tax","Paid to 1st Locate (HMRC fine)",88.51,08/11/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,29/11/2023,,1000031,"Starling Bank"
"Computer Software",34sp,9.95,05/11/2023,,N/A,"Starling Bank"
"Computer Software",Loandisk,88.11,20/11/2023,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance",135.51,22/11/2023,,1000001,"Starling Bank"
Insurance,"Premium Credit Insurance",130.45,11/12/2023,,1000001,"Starling Bank"
"Computer Software",Google,27.60,01/12/2023,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",133.00,04/12/2023,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,05/12/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,16/12/2023,,1000032,"Starling Bank"
Insurance,,130.45,11/12/2023,,1000001,"Starling Bank"
"Legal and Professional Fees","Information Commissioner's Office",35.00,18/12/2023,,N/A,"Starling Bank"
"Computer Software",Loandisk,86.33,20/12/2023,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",1200.00,22/12/2023,,N/A,"Starling Bank"
"Computer Software",Google,27.60,02/01/2024,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,06/01/2024,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance",130.45,10/01/2024,,1000001,"Starling Bank"
"Computer Software",Loandisk,88.48,22/01/2024,,N/A,"Starling Bank"
"Computer Software",Google,27.60,06/02/2024,,N/A,"Starling Bank"
"Legal and Professional Fees","Homecastle Estates",11520.00,12/02/2024,,1000001,"Starling Bank"
"Legal and Professional Fees","Homecastle Estate",299.00,12/02/2024,,1000001,"Starling Bank"
Insurance,"Premium Credit Insurance",130.45,12/02/2024,,1000001,"Starling Bank"
"HMRC Corporation Tax",,37735.18,12/02/2024,,N/A,"Starling Bank"
"Dividend (A Pearse)",,24500.00,16/02/2024,,N/A,"Starling Bank"
"Dividend (A Whitwam)",,25500.00,16/02/2024,,N/A,"Starling Bank"
Insurance,"Keith Taylor ",85.62,22/02/2024,,1000001,"Starling Bank"
"Computer Software",Loandisk,89.03,20/02/2024,,N/A,"Starling Bank"
"Computer Software",34sp,11.95,06/03/2024,,N/A,"Starling Bank"
"Computer Software",google,31.35,04/03/2024,,N/A,"Starling Bank"
"Computer Software",34sp,11.95,06/02/2024,,N/A,"Starling Bank"
"Computer Software",Loandisk,87.98,20/05/2023,,N/A,"Starling Bank"
"Computer Software","Google Cloud",27.60,02/06/2023,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,06/06/2023,,N/A,"Starling Bank"
Insurance,"Premium Credit Insurance (04AEIV8365/01)",106.49,12/06/2023,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,19/04/2024,,1000033,"Starling Bank"
"Computer Software","680Pin* Loandisk      AUSTRALIA	AMOUNT IN US",90.10,22/04/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 APR BDC",11.95,08/04/2024,,N/A,Cash
"Computer Software","GSUITE_360funds.co    IRELAND	ON 01 APR BDC",36.00,02/04/2024,,N/A,Cash
"Computer Software","407Pin* Loandisk      AUSTRALIA	AMOUNT IN US",88.43,20/03/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 22 MAY BDC",11.95,23/05/2024,,N/A,Cash
"Computer Software","681Pin* Loandisk      AUSTRALIA	AMOUNT IN US",88.59,20/05/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 MAY BDC",11.95,07/05/2024,,N/A,Cash
"Computer Software","GOOGLE*GSUITE 360F    IRELAND	ON 01 MAY BDC",36.00,02/05/2024,,N/A,Cash
"Computer Software","179Pin* Loandisk      AUSTRALIA	AMOUNT IN US",86.83,22/07/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 JUL BDC",11.95,08/07/2024,,N/A,Cash
"Computer Software","GOOGLE*GSUITE 360F    IRELAND	ON 01 JUL BDC",36.00,02/07/2024,,N/A,Cash
"Computer Software","301Pin* Loandisk      AUSTRALIA	AMOUNT IN US",88.29,20/06/2024,,N/A,Cash
"Computer Software","GOOGLE*GSUITE 360F    IRELAND	ON 01 JUN BDC",36.00,03/06/2024,,N/A,Cash
"Computer Software","GOOGLE*GSUITE 360F    IRELAND	ON 01 SEP BDC",36.00,02/09/2024,,N/A,Cash
"Computer Software","071Pin* Loandisk      AUSTRALIA	AMOUNT IN US",86.68,20/08/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 AUG BDC",11.95,06/08/2024,,N/A,Cash
"Computer Software","GSUITE_360funds.co    IRELAND	ON 01 AUG BDC",36.00,02/08/2024,,N/A,Cash
"Grove Park Finance Commission",,1500.00,10/09/2024,,1000036,"Starling Bank"
"Computer Software","660Pin* Loandisk      AUSTRALIA	AMOUNT IN US",101.95,21/10/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 OCT BDC",11.95,07/10/2024,,N/A,Cash
"Computer Software","GSUITE_360funds.co    IRELAND	ON 01 OCT BDC",36.00,02/10/2024,,N/A,Cash
"Computer Software","582Pin* Loandisk      AUSTRALIA	AMOUNT IN US",100.80,20/09/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 SEP BDC",11.95,06/09/2024,,N/A,Cash
"Grove Park Finance Commission",,1500.00,12/11/2024,,1000039,"Starling Bank"
"Grove Park Finance Commission",,1500.00,15/11/2024,,1000038,"Starling Bank"
"Computer Software","34SP.COM LTD          	ON 05 DEC BDC",11.95,06/12/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 02 DEC BDC",15.00,03/12/2024,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 DEC BDC",36.00,02/12/2024,,N/A,Cash
"Computer Software","448Pin* Loandisk      AUSTRALIA	AMOUNT IN US",105.11,20/11/2024,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 05 NOV BDC",11.95,06/11/2024,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 NOV BDC",36.00,04/11/2024,,N/A,Cash
"Computer Software","311Pin* Loandisk      AUSTRALIA	AMOUNT IN US",109.04,20/01/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 05 JAN BDC",11.95,06/01/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 JAN BDC",36.00,02/01/2025,,N/A,Cash
"Computer Software","345Pin* Loandisk      AUSTRALIA	AMOUNT IN US",106.11,20/12/2024,,N/A,Cash
"Legal and Professional Fees","SHARED EQUITY LTD     	V16349 FT",1200.00,19/12/2024,,N/A,Cash
"Legal and Professional Fees","SHARED EQUITY LTD     	V016535 FT",34.00,19/12/2024,,N/A,Cash
"Legal and Professional Fees","SHARED EQUITY LTD     	V016553 FT",120.00,19/12/2024,,N/A,Cash
"Grove Park Finance Commission",,1500.00,11/02/2025,,1000040,"Starling Bank"
"Grove Park Finance Commission",,1500.00,27/02/2025,,1000041,"Starling Bank"
"HMRC Corporation Tax",,72963.65,28/02/2025,,N/A,"Starling Bank"
"Computer Software","34SP.COM LTD          	ON 05 MAR BDC",11.95,06/03/2025,,N/A,Cash
"Computer Software","GOOGLE*GSUITE 360F    IRELAND	ON 01 MAR BDC",36.00,03/03/2025,,N/A,Cash
"Computer Software","751Pin* Loandisk      AUSTRALIA	AMOUNT IN US",105.53,20/02/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 05 FEB BDC",11.95,06/02/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 FEB BDC",36.00,03/02/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 MAY BDC",36.00,02/05/2025,,N/A,Cash
"Computer Software","049Pin* Loandisk      AUSTRALIA	AMOUNT IN US",100.05,22/04/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 APR BDC",11.95,07/04/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 APR BDC",36.00,02/04/2025,,N/A,Cash
"Computer Software","962Pin* Loandisk      AUSTRALIA	AMOUNT IN US",102.34,20/03/2025,,N/A,Cash
"Grove Park Finance Commission",,1500.00,23/05/2025,,1000044,"Starling Bank"
"Grove Park Finance Commission",,1500.00,23/05/2025,,1000043,"Starling Bank"
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 JUN BDC",36.00,02/06/2025,,N/A,Cash
"Computer Software","252Pin* Loandisk      AUSTRALIA	AMOUNT IN US",100.13,20/05/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 MAY BDC",11.95,06/05/2025,,N/A,Cash
"Computer Software","719Pin* Loandisk      AUSTRALIA	AMOUNT IN US",99.06,20/06/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 JUN BDC",11.95,06/06/2025,,N/A,Cash
"Computer Software","855Pin* Loandisk      AUSTRALIA	AMOUNT IN US",98.93,21/07/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 JUL BDC",11.95,07/07/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 JUL BDC",36.00,02/07/2025,,N/A,Cash
"Expense - A Whitwam",,520.65,01/10/2025,"
			
        	Andy Whitwam Mileage  Expenses 360 Funding Ltd.xlsx
                    ",N/A,"Starling Bank"
"Computer Software","34SP.COM LTD          	ON 04 OCT BDC",11.95,06/10/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 OCT BDC",42.00,02/10/2025,,N/A,Cash
"Computer Software","381Pin* Loandisk      AUSTRALIA	AMOUNT IN US",98.48,22/09/2025,,N/A,Cash
"Legal and Professional Fees","WWW.ICO.ORG.UK        	ON 11 SEP BDC",52.00,12/09/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 SEP BDC",11.95,08/09/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 SEP BDC",42.00,02/09/2025,,N/A,Cash
"Computer Software","865Pin* Loandisk      AUSTRALIA	AMOUNT IN US",98.37,20/08/2025,,N/A,Cash
"Computer Software","34SP.COM LTD          	ON 04 AUG BDC",11.95,06/08/2025,,N/A,Cash
"Computer Software","Google GSUITE_360f    IRELAND	ON 01 AUG BDC",40.45,04/08/2025,,N/A,Cash
"Expense - A Whitwam","Oct Expenses (file to follow)",521.20,03/11/2025,,N/A,"Starling Bank"
"Expense - A Whitwam","Nov26 Expenses",496.00,02/12/2025,,N/A,"Starling Bank"
"Computer Software","403Pin* Loandisk         Coomera      AU",44.04,21/10/2025,,N/A,Cash
"Expense - A Pearse","To Andrew Pearse, Expenses",511.40,31/10/2025,,N/A,Cash
"Computer Software","Google GSUITE_360funds.coDublin       IE",42.00,02/11/2025,,N/A,Cash
"Computer Software","34SP.com Ltd             Prestwich    GB",11.95,06/11/2025,,N/A,Cash
"Expense - A Pearse","To Andrew Pearse, November expenses",488.50,30/11/2025,,N/A,Cash
"Legal and Professional Fees","To Shared Equity Limited, VO18826",34.00,02/12/2025,,N/A,Cash
"Legal and Professional Fees","To Shared Equity Limited, VO18841",120.00,02/12/2025,,N/A,Cash
"Computer Software","Google GSUITE_360funds.coDublin       IE",42.00,02/12/2025,,N/A,Cash
"Computer Software","34SP.com Ltd             Prestwich    GB",11.95,06/12/2025,,N/A,Cash
"Computer Software","WWW.LOANDISK.COM         +61280056782 AU",96.85,06/12/2025,,N/A,Cash
"Expense - A Whitwam","204747 30919225       	OCT EXPENSE FT",18.00,03/11/2025,,N/A,Cash
"Computer Software","132Pin* Loandisk      AUSTRALIA	AMOUNT IN US",99.00,20/10/2025,,N/A,Cash
"Grove Park Finance Commission",,1000.00,12/12/2025,,1000047,"Starling Bank"
