"Expense Type",Description,"Expense Amount","Expense Date","Expense Files","Expense Loan#","Bank Account"
"ADW Enterprises Ltd (Interest)",,833.33,01/12/2020,,1000006,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,01/12/2020,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,01/12/2020,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2583.33,01/12/2020,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,01/12/2020,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,5000.00,03/12/2020,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,5000.00,15/12/2020,,1000005,"Starling Bank"
"Legal and Professional Fees","Information Commissioner payment",35.00,18/12/2020,,N/A,"Starling Bank"
"Computer Software","Loandisk subscription",66.80,20/12/2020,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,04/01/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,04/01/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2583.33,04/01/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,04/01/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,04/01/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,833.33,04/01/2021,,1000006,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3758.33,04/01/2021,,1000004,"Starling Bank"
"Computer Software",Google,27.60,02/01/2021,,N/A,"Starling Bank"
"Computer Software","34sp hosting/domain fees",9.95,05/01/2021,,N/A,"Starling Bank"
"Computer Software","Loandisk subscription",66.32,20/01/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,02/02/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,02/02/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2583.33,02/02/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,02/02/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,02/02/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,833.33,02/02/2021,,1000006,"Starling Bank"
"Computer Software",google,27.60,02/02/2021,,N/A,"Starling Bank"
"Computer Software","23sp domain hosting fees",9.95,05/02/2021,,N/A,"Starling Bank"
"Legal and Professional Fees","CGA ACcountants",133.00,05/02/2021,,N/A,"Starling Bank"
"HMRC Corporation Tax","2019-20 tax bill",598.50,09/02/2021,,N/A,"Starling Bank"
"HMRC Corporation Tax","2019-20 tax bill",19916.56,09/02/2021,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,26/02/2021,,1000013,"Starling Bank"
"Computer Software",Loandisk,64.53,20/02/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3830.67,02/03/2021,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,02/03/2021,,1000009,"Starling Bank"
